GENE,IonXpress_001,IonXpress_002,IonXpress_003,IonXpress_005,IonXpress_007,IonXpress_008,IonXpress_010,IonXpress_011,IonXpress_016,IonXpress_018,IonXpress_021,IonXpress_024,IonXpress_004,IonXpress_006,IonXpress_009,IonXpress_012,IonXpress_013,IonXpress_014,IonXpress_015,IonXpress_017,IonXpress_019,IonXpress_020,IonXpress_022,IonXpress_023
SEC24B-AS1,19,3,7,12,6,7,0,10,13,3,3,6,0,6,4,1,4,0,4,2,9,20,0,4
A1BG,0,0,1,0,2,0,4,73,0,0,0,2,0,1,0,4,1,0,0,4,1,0,0,3
A1CF,56,60,168,33,67,46,12,27,411,167,116,94,139,327,6,128,114,0,114,11,45,219,1,55
GGACT,9,7,15,13,11,7,19,33,8,2,4,7,7,2,5,15,16,0,8,2,10,14,0,5
A2M,1588,1228,994,958,766,927,2031,2929,669,3106,877,1955,183,2424,7526,747,417,1,87,717,634,1059,13,1631
A2ML1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1,2,3,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,1,1,1,0,0,0
A4GALT,143,70,116,35,64,32,127,282,29,109,37,93,8,139,383,33,53,0,2,84,42,45,0,26
A4GNT,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AAAS,259,315,329,164,144,110,206,196,343,162,353,425,43,477,128,313,330,1,73,57,275,513,2,81
AACS,229,225,236,316,179,126,252,197,398,329,276,338,85,269,171,391,171,1,70,66,222,425,14,324
AADAC,1,8,29,0,32,5,0,8,4,2,2,34,7,35,8,45,3,0,241,6,19,6,0,10
AADACL2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,69,70,153,220,74,161,48,106,172,73,132,118,262,246,153,66,114,0,180,32,165,247,2,136
AAGAB,515,159,343,336,397,38,483,297,726,654,608,811,404,632,265,453,379,1,352,129,495,336,24,426
AAK1,17,5,0,15,5,12,10,7,4,20,5,7,1,26,31,7,9,0,14,5,3,3,0,7
AAMP,901,820,951,1108,1008,712,886,1199,1396,686,670,1735,360,1255,653,2042,557,4,265,270,576,1407,31,725
AANAT,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
AARS,988,759,2210,915,730,694,1985,1602,1542,918,3681,2731,411,1606,1537,2745,806,0,177,122,1236,2695,25,966
AARS2,103,190,128,213,158,97,281,460,190,75,57,193,20,146,263,315,70,1,53,38,85,225,2,135
PTGES3L-AARSD1,21,2,9,20,15,13,3,7,11,14,7,10,11,27,4,25,4,0,13,3,5,20,0,7
AASDH,25,17,28,9,9,16,7,6,21,27,16,52,14,20,14,4,20,0,20,11,13,53,1,16
AASDHPPT,365,142,166,239,122,204,64,63,341,172,351,614,162,245,137,211,230,1,107,82,355,259,4,186
AASS,38,16,11,17,14,7,1,6,52,23,10,13,4,19,20,4,4,0,12,21,36,23,0,4
AATF,911,759,921,905,774,461,618,506,1272,749,1284,1805,224,1263,738,1197,585,29,730,381,1031,1870,72,764
AATK,40,31,244,21,54,19,71,592,288,81,19,134,32,87,228,59,43,0,34,89,41,101,2,59
ABAT,253,96,230,197,157,129,319,634,1512,367,241,306,92,2243,378,68,94,0,89,61,122,151,17,261
ABCA1,425,225,102,345,222,186,281,312,65,296,68,225,38,385,745,238,122,1,8,65,100,231,2,90
ABCA10,45,22,66,57,57,33,6,18,23,186,9,31,25,76,51,19,12,0,49,46,16,10,0,38
ABCA12,1,0,8,4,1,0,10,0,7,0,0,96,26,7,54,63,0,0,0,0,45,304,1,2
ABCA13,14,0,2,0,1,5,0,0,12,14,0,21,1,3,0,2,1,0,0,1,3,8,0,34
ABCA17P,0,0,0,0,1,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ABCA2,322,393,412,601,551,890,824,1795,936,222,80,458,48,839,717,2157,247,0,71,114,160,861,10,623
ABCA3,49,315,34,42,84,206,111,460,8,58,12,86,1,165,216,66,6,0,2,9,14,5,0,8
ABCA4,1,1,1,1,0,1,2,0,2,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0
ABCA5,183,166,178,177,343,221,8,18,298,1032,66,194,346,439,77,256,156,0,893,236,296,221,0,148
ABCA6,70,19,48,38,68,39,9,40,15,202,3,73,20,91,187,13,17,0,10,110,14,20,0,31
ABCA7,30,40,20,53,72,73,16,71,16,17,0,41,5,34,38,105,36,0,15,58,16,64,1,26
ABCA8,83,15,33,28,37,24,9,34,8,168,1,1,11,95,145,2,5,0,1,47,6,8,0,22
ABCA9,36,8,26,17,25,47,2,10,5,87,1,23,3,28,79,4,4,0,16,49,5,3,0,7
ABCB1,136,328,832,155,136,34,33,196,299,884,239,49,139,780,65,71,626,0,782,45,168,355,0,243
ABCB10,363,191,224,401,183,302,610,517,891,343,462,1062,446,420,507,618,298,0,207,86,238,604,11,414
ABCB11,1,12,4,0,29,0,4,1,4,36,2,9,2,11,7,10,8,0,5,2,2,4,0,1
ABCB4,17,22,13,23,16,5,2,8,10,23,2,4,4,32,23,12,17,0,16,5,5,11,0,8
ABCB5,1,0,0,2,1,4,0,0,0,2,0,0,0,5,1,0,0,0,1,2,0,0,0,0
ABCB6,102,103,112,146,71,102,376,151,219,83,44,208,73,172,211,264,70,0,18,89,58,205,1,40
ABCB7,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ABCB8,44,36,50,42,63,55,167,288,66,47,33,107,15,52,101,147,26,0,9,17,35,132,0,41
ABCB9,1,1,7,4,0,0,2,1,1,0,2,0,1,0,1,0,0,0,1,0,0,4,0,0
ABCC1,321,318,285,1206,561,404,614,522,529,213,452,307,40,475,814,1172,208,0,22,68,261,323,4,370
ABCC10,185,147,150,250,167,64,141,99,208,71,134,75,14,150,121,351,107,1,38,30,92,147,3,53
ABCC11,0,0,3,4,21,0,6,2,1,0,1,2,0,0,1,6,0,0,0,1,0,1,0,4
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ABCC2,7,29,203,10,39,8,3,15,70,14,37,21,51,256,111,1,31,0,5,4,1,13,0,1
ABCC3,112,212,471,425,696,508,98,529,571,382,91,293,84,383,97,1460,107,0,245,69,181,432,1,506
ABCC4,118,82,22,30,7,17,1,3,164,82,43,12,43,49,4,4,108,0,125,16,137,40,0,3
ABCC5,315,154,206,261,266,131,54,36,191,151,88,71,45,314,190,118,238,0,49,36,141,220,0,60
ABCC6,11,24,36,64,46,18,3,19,98,21,3,12,3,41,33,18,60,0,21,7,15,23,1,15
ABCC8,2,0,0,0,1,1,0,3,0,1,1,0,0,1,3,0,1,0,0,0,0,1,0,1
ABCC9,15,3,1,1,4,0,0,0,3,8,0,2,0,2,6,0,0,0,0,4,1,0,0,0
ABCD1,284,153,80,195,232,69,337,392,192,133,102,91,8,304,248,193,135,1,23,26,62,123,7,65
ABCD2,14,11,5,10,6,5,3,4,1,10,1,21,4,10,20,14,2,0,0,5,12,10,1,2
ABCD3,307,347,567,471,508,321,406,596,1033,709,488,1060,1113,767,302,493,336,4,986,248,256,1113,27,1046
ABCD4,249,487,435,419,453,210,364,1123,218,231,135,535,108,359,663,890,248,7,68,149,191,259,24,320
ABCE1,1289,577,1151,749,327,781,733,504,2331,942,1219,2381,1484,1748,481,826,819,1,979,734,812,1680,54,830
ABCF1,742,689,613,768,606,388,696,653,832,688,733,871,132,1147,561,1068,429,4,108,193,506,1205,47,431
ABCF2,727,563,861,717,660,485,997,810,900,552,925,1226,584,980,777,1365,910,0,313,209,584,1315,49,526
ABCF3,345,228,309,444,404,114,493,454,302,215,170,285,78,409,278,404,212,1,77,133,149,405,14,181
ABCG1,32,24,11,11,10,10,4,0,38,10,3,4,2,21,7,15,8,0,4,14,2,14,0,2
ABCG2,27,44,71,7,47,7,3,14,3,190,6,141,26,77,45,207,32,0,21,23,18,56,2,5
ABCG4,4,1,1,1,1,0,1,3,0,2,0,2,0,0,3,3,1,0,0,25,3,0,0,0
ABCG5,3,18,3,3,8,0,6,4,2,4,0,248,9,1,4,20,2,0,0,0,7,1,0,19
ABCG8,0,13,1,0,8,0,2,0,1,3,0,36,5,0,0,3,0,0,1,0,5,0,0,11
ABHD1,12,9,12,20,7,0,2,2,11,13,6,4,5,17,5,4,10,0,13,75,18,7,0,4
ABHD10,117,51,69,88,48,88,44,64,194,79,91,343,276,83,49,176,178,0,73,92,88,185,3,129
ABHD11,308,524,1038,754,572,350,457,1448,571,278,307,500,326,543,181,1022,275,3,115,78,230,498,21,294
ABHD12,1147,419,1226,1328,938,427,612,414,422,448,493,820,851,1297,576,907,649,2,225,144,524,665,15,299
ABHD12B,0,0,0,120,0,7,3,0,2,7,0,0,1,10,0,0,3,0,0,0,73,0,0,0
ABHD13,171,46,53,138,78,76,29,60,162,109,61,114,304,120,49,73,176,0,142,29,113,119,1,55
ABHD14A,58,30,40,18,46,15,37,38,28,34,9,41,33,47,15,52,33,0,8,14,36,39,0,32
ABHD14B,565,389,830,326,608,611,1106,910,1191,544,573,1971,438,749,433,2062,514,1,140,91,462,1612,71,1159
ABHD15,114,210,199,128,196,103,262,339,188,153,114,140,26,222,124,319,80,0,29,52,127,169,1,130
ABHD16A,706,555,316,475,468,257,651,629,604,279,402,854,236,632,435,1018,483,2,128,75,288,480,2,328
ABHD16B,67,71,111,222,42,45,208,315,135,39,49,30,13,150,215,159,60,0,31,131,53,92,8,77
ABHD2,3273,1751,3055,1162,2264,769,6473,2740,986,803,894,5607,657,1529,961,5648,433,0,103,199,1988,1914,68,1960
ABHD3,339,302,466,464,924,293,384,455,585,1352,225,1290,243,897,551,2362,535,3,392,94,338,631,2,974
ABHD4,202,187,281,93,125,184,156,294,40,199,36,312,25,189,258,400,72,0,11,52,66,174,6,163
ABHD5,310,96,219,161,249,159,143,198,303,282,249,468,242,273,329,342,123,0,175,70,192,296,4,206
ABHD6,266,207,239,154,215,139,411,300,235,305,121,372,202,366,280,326,60,0,28,24,87,289,1,130
ABHD8,38,28,13,35,24,19,50,51,40,23,9,27,6,37,66,21,65,0,4,8,10,31,0,18
ABI1,968,510,895,446,413,944,1398,1188,850,845,587,2378,329,1389,919,2011,1143,2,146,220,769,1238,57,1635
ABI2,238,129,135,272,165,131,77,92,370,233,120,261,90,373,300,157,152,0,114,82,178,274,5,174
ABI3,528,395,158,383,306,91,213,500,70,210,53,349,41,420,428,281,91,0,16,89,116,215,6,77
ABI3BP,158,109,55,185,132,287,30,68,53,1168,29,89,28,348,663,101,28,0,30,146,153,54,1,100
ABL1,1140,740,548,974,755,884,1037,621,632,948,581,736,97,1626,1345,2167,594,0,124,224,627,1223,18,611
ABL2,347,131,118,178,143,258,63,39,183,268,111,75,49,488,108,110,182,0,86,89,186,200,5,55
ABLIM1,245,206,404,127,320,142,199,424,280,527,92,289,77,319,350,660,204,0,55,53,146,245,7,567
ABLIM2,9,4,4,2,3,0,15,7,2,5,0,0,2,2,10,0,2,0,5,0,0,1,2,0
ABLIM3,15,12,10,6,17,1,3,2,1,19,2,24,1,15,28,6,4,0,0,4,2,1,0,6
ABO,137,181,87,55,120,111,59,79,90,155,9,42,5,62,14,770,36,1,17,15,25,128,2,31
ABP1,546,575,759,655,841,752,590,1092,851,1598,277,405,553,1672,66,3586,725,1,89,13,377,786,1,788
ABR,40,33,24,47,40,14,14,23,6,17,3,11,2,14,55,28,11,0,8,24,8,14,0,4
ABRA,1,0,2,1,0,0,2,0,0,2,0,0,0,2,2,1,0,0,0,0,0,0,0,0
ABT1,526,340,442,359,314,286,768,858,732,294,714,799,542,590,363,946,321,0,172,70,248,734,21,521
ABTB1,476,416,599,814,679,323,588,1016,235,308,79,504,113,616,1136,842,114,2,78,202,217,377,12,389
ABTB2,95,122,124,138,172,9,378,195,62,134,120,167,15,184,99,225,92,0,24,16,36,49,5,54
ACAA1,536,416,537,726,942,263,537,754,444,424,281,490,308,577,448,1046,204,9,92,122,238,573,27,268
ACAA2,641,565,1027,920,1284,622,262,360,1263,1404,716,1182,1533,1610,732,869,1047,4,447,359,517,1261,28,751
ACACA,359,204,284,388,228,176,319,195,518,220,372,560,159,360,343,545,153,1,313,85,331,411,9,196
ACACB,260,260,240,405,294,63,219,282,245,256,54,215,62,355,750,210,122,1,36,115,187,404,14,141
ACAD10,142,124,345,207,161,91,271,222,141,175,91,177,27,257,246,309,83,0,41,34,152,160,0,132
ACAD8,359,150,235,300,199,134,108,110,228,273,101,213,124,385,213,333,100,0,110,34,205,152,9,119
ACAD9,357,237,322,441,320,282,1006,906,529,262,341,323,227,392,613,784,325,1,139,89,333,601,21,308
ACADL,2,0,0,2,0,0,0,1,0,1,0,0,0,0,1,5,0,0,1,7,0,1,0,0
ACADM,121,48,124,111,72,105,9,5,175,240,52,118,103,172,31,21,89,0,138,68,63,164,5,75
